Plate ID	Well	Cpd ID
PLA_004	C5	CPD_264
PLA_004	C6	CPD_265
PLA_004	C7	CPD_266
PLA_004	C8	CPD_267
PLA_004	C9	CPD_268
PLA_004	C10	CPD_269
PLA_004	C11	CPD_270
PLA_004	D2	CPD_271
PLA_004	D3	CPD_272
PLA_004	D4	CPD_273
PLA_004	D5	CPD_274
PLA_004	D6	CPD_275
PLA_004	D7	CPD_276
PLA_004	D8	CPD_277
PLA_004	D9	CPD_278
PLA_004	D10	CPD_279
PLA_004	D11	CPD_280
PLA_004	E2	CPD_281
PLA_004	E3	CPD_282
PLA_004	E4	CPD_283
PLA_004	E5	CPD_284
PLA_004	E6	CPD_285
PLA_004	E7	CPD_286
PLA_004	E8	CPD_287
PLA_004	E9	CPD_288
PLA_004	E10	CPD_289
PLA_004	E11	CPD_290
PLA_004	F2	CPD_291
PLA_004	F3	CPD_292
PLA_004	F4	CPD_293
PLA_004	F5	CPD_294
PLA_004	F6	CPD_295
PLA_004	F7	CPD_296
PLA_004	F8	CPD_297
PLA_004	F9	CPD_298
PLA_004	F10	CPD_299
PLA_004	F11	CPD_300
PLA_004	G2	CPD_301
PLA_004	G3	CPD_302
PLA_004	G4	CPD_303
PLA_004	G5	CPD_304
PLA_004	G6	CPD_305
PLA_004	G7	CPD_306
PLA_004	G8	CPD_307
PLA_004	G9	CPD_308
PLA_004	G10	CPD_309
PLA_004	G11	CPD_310
PLA_004	H2	CPD_311
PLA_004	H3	CPD_312
PLA_004	H4	CPD_313
PLA_004	H5	CPD_314
PLA_004	H6	CPD_315
PLA_004	H7	CPD_316
PLA_004	H8	CPD_317
PLA_004	H9	CPD_318
PLA_004	H10	CPD_319
PLA_004	H11	CPD_320
PLA_005	A2	CPD_321
PLA_005	A3	CPD_322
PLA_005	A4	CPD_323
PLA_005	A5	CPD_324
PLA_005	A6	CPD_325
PLA_005	A7	CPD_326
PLA_005	A8	CPD_327
PLA_005	A9	CPD_328
PLA_005	A10	CPD_329
PLA_005	A11	CPD_330
PLA_005	B2	CPD_331
PLA_005	B3	CPD_332
PLA_005	B4	CPD_333
PLA_005	B5	CPD_334
PLA_005	B6	CPD_335
PLA_005	B7	CPD_336
PLA_005	B8	CPD_337
PLA_005	B9	CPD_338
PLA_005	B10	CPD_339
PLA_005	B11	CPD_340
PLA_005	C2	CPD_341
PLA_005	C3	CPD_342
PLA_005	C4	CPD_343
PLA_005	C5	CPD_344
PLA_005	C6	CPD_345
PLA_005	C7	CPD_346
PLA_005	C8	CPD_347
PLA_005	C9	CPD_348
PLA_005	C10	CPD_349
PLA_005	C11	CPD_350
PLA_005	D2	CPD_351
PLA_005	D3	CPD_352
PLA_005	D4	CPD_353
PLA_005	D5	CPD_354
PLA_005	D6	CPD_355
PLA_005	D7	CPD_356
PLA_005	D8	CPD_357
PLA_005	D9	CPD_358
PLA_005	D10	CPD_359
PLA_005	D11	CPD_360
PLA_005	E2	CPD_361
PLA_005	E3	CPD_362
PLA_005	E4	CPD_363
PLA_005	E5	CPD_364
PLA_005	E6	CPD_365
PLA_005	E7	CPD_366
PLA_005	E8	CPD_367
PLA_005	E9	CPD_368
PLA_005	E10	CPD_369
PLA_005	E11	CPD_370
PLA_005	F2	CPD_371
PLA_005	F3	CPD_372
PLA_005	F4	CPD_373
PLA_005	F5	CPD_374
PLA_005	F6	CPD_375
PLA_005	F7	CPD_376
PLA_005	F8	CPD_377
PLA_005	F9	CPD_378
PLA_005	F10	CPD_379
PLA_005	F11	CPD_380
PLA_005	G2	CPD_381
PLA_005	G3	CPD_382
PLA_005	G4	CPD_383
PLA_005	G5	CPD_384
PLA_005	G6	CPD_385
PLA_005	G7	CPD_386
PLA_005	G8	CPD_387
PLA_005	G9	CPD_388
PLA_005	G10	CPD_389
PLA_005	G11	CPD_390
PLA_005	H2	CPD_391
PLA_005	H3	CPD_392
PLA_005	H4	CPD_393
PLA_005	H5	CPD_394
PLA_005	H6	CPD_395
PLA_005	H7	CPD_396
PLA_005	H8	CPD_397
PLA_005	H9	CPD_398
PLA_005	H10	CPD_399
PLA_005	H11	CPD_400
PLA_006	A2	CPD_401
PLA_006	A3	CPD_402
PLA_006	A4	CPD_403
PLA_006	A5	CPD_404
PLA_006	A6	CPD_405
PLA_006	A7	CPD_406
PLA_006	A8	CPD_407
PLA_006	A9	CPD_408
PLA_006	A10	CPD_409
PLA_006	A11	CPD_410
PLA_006	B2	CPD_411
PLA_006	B3	CPD_412
PLA_006	B4	CPD_413
PLA_006	B5	CPD_414
PLA_006	B6	CPD_415
PLA_006	B7	CPD_416
PLA_006	B8	CPD_417
PLA_006	B9	CPD_418
PLA_006	B10	CPD_419
PLA_006	B11	CPD_420
PLA_006	C2	CPD_421
PLA_006	C3	CPD_422
PLA_006	C4	CPD_423
PLA_006	C5	CPD_424
PLA_006	C6	CPD_425
PLA_006	C7	CPD_426
PLA_006	C8	CPD_427
PLA_006	C9	CPD_428
PLA_006	C10	CPD_429
PLA_006	C11	CPD_430
PLA_006	D2	CPD_431
PLA_006	D3	CPD_432
PLA_006	D4	CPD_433
PLA_006	D5	CPD_434
PLA_006	D6	CPD_435
PLA_006	D7	CPD_436
PLA_006	D8	CPD_437
PLA_006	D9	CPD_438
PLA_006	D10	CPD_439
PLA_006	D11	CPD_440
PLA_006	E2	CPD_441
PLA_006	E3	CPD_442
PLA_006	E4	CPD_443
PLA_006	E5	CPD_444
PLA_006	E6	CPD_445
PLA_006	E7	CPD_446
PLA_006	E8	CPD_447
PLA_006	E9	CPD_448
PLA_006	E10	CPD_449
PLA_006	E11	CPD_450
PLA_006	F2	CPD_451
PLA_006	F3	CPD_452
PLA_006	F4	CPD_453
PLA_006	F5	CPD_454
PLA_006	F6	CPD_455
PLA_006	F7	CPD_456
PLA_006	F8	CPD_457
PLA_006	F9	CPD_458
PLA_006	F10	CPD_459
PLA_006	F11	CPD_460
PLA_006	G2	CPD_461
PLA_006	G3	CPD_462
PLA_006	G4	CPD_463
PLA_006	G5	CPD_464
PLA_006	G6	CPD_465
PLA_006	G7	CPD_466
PLA_006	G8	CPD_467
PLA_006	G9	CPD_468
PLA_006	G10	CPD_469
PLA_006	G11	CPD_470
PLA_006	H2	CPD_471
PLA_006	H3	CPD_472
PLA_006	H4	CPD_473
PLA_006	H5	CPD_474
PLA_006	H6	CPD_475
PLA_006	H7	CPD_476
PLA_006	H8	CPD_477
PLA_006	H9	CPD_478
PLA_006	H10	CPD_479
PLA_006	H11	CPD_480
PLA_007	A2	CPD_481
PLA_007	A3	CPD_482
PLA_007	A4	CPD_483
PLA_007	A5	CPD_484
PLA_007	A6	CPD_485
PLA_007	A7	CPD_486
PLA_007	A8	CPD_487
PLA_007	A9	CPD_488
PLA_007	A10	CPD_489
PLA_007	A11	CPD_490
PLA_007	B2	CPD_491
PLA_007	B3	CPD_492
PLA_007	B4	CPD_493
PLA_007	B5	CPD_494
PLA_007	B6	CPD_495
PLA_007	B7	CPD_496
PLA_007	B8	CPD_497
PLA_007	B9	CPD_498
PLA_007	B10	CPD_499
PLA_007	B11	CPD_500
PLA_007	C2	CPD_501
PLA_007	C3	CPD_502
PLA_007	C4	CPD_503
PLA_007	C5	CPD_504
PLA_007	C6	CPD_505
PLA_007	C7	CPD_506
PLA_007	C8	CPD_507
PLA_007	C9	CPD_508
PLA_007	C10	CPD_509
PLA_007	C11	CPD_510
PLA_007	D2	CPD_511
PLA_007	D3	CPD_512
PLA_007	D4	CPD_513
PLA_007	D5	CPD_514
PLA_007	D6	CPD_515
PLA_007	D7	CPD_516
PLA_007	D8	CPD_517
PLA_007	D9	CPD_518
PLA_007	D10	CPD_519
PLA_007	D11	CPD_520
PLA_007	E2	CPD_521
PLA_007	E3	CPD_522
PLA_007	E4	CPD_523
PLA_007	E5	CPD_524
PLA_007	E6	CPD_525
PLA_007	E7	CPD_526
PLA_007	E8	CPD_527
PLA_007	E9	CPD_528
PLA_007	E10	CPD_529
PLA_007	E11	CPD_530
PLA_007	F2	CPD_531
PLA_007	F3	CPD_532
PLA_007	F4	CPD_533
PLA_007	F5	CPD_534
PLA_007	F6	CPD_535
PLA_007	F7	CPD_536
PLA_007	F8	CPD_537
PLA_007	F9	CPD_538
PLA_007	F10	CPD_539
PLA_007	F11	CPD_540
PLA_007	G2	CPD_541
PLA_007	G3	CPD_542
PLA_007	G4	CPD_543
PLA_007	G5	CPD_544
PLA_007	G6	CPD_545
PLA_007	G7	CPD_546
PLA_007	G8	CPD_547
PLA_007	G9	CPD_548
PLA_007	G10	CPD_549
PLA_007	G11	CPD_550
PLA_007	H2	CPD_551
PLA_007	H3	CPD_552
PLA_007	H4	CPD_553
PLA_007	H5	CPD_554
PLA_007	H6	CPD_555
PLA_007	H7	CPD_556
PLA_007	H8	CPD_557
PLA_007	H9	CPD_558
PLA_007	H10	CPD_559
PLA_007	H11	CPD_560
PLA_008	A2	CPD_561
PLA_008	A3	CPD_562
PLA_008	A4	CPD_563
PLA_008	A5	CPD_564
PLA_008	A6	CPD_565
PLA_008	A7	CPD_566
PLA_008	A8	CPD_567
PLA_008	A9	CPD_568
PLA_008	A10	CPD_569
PLA_008	A11	CPD_570
PLA_008	B2	CPD_571
PLA_008	B3	CPD_572
PLA_008	B4	CPD_573
PLA_008	B5	CPD_574
PLA_008	B6	CPD_575
PLA_008	B7	CPD_576
PLA_008	B8	CPD_577
PLA_008	B9	CPD_578
PLA_008	B10	CPD_579
PLA_008	B11	CPD_580
PLA_008	C2	CPD_581
PLA_008	C3	CPD_582
PLA_008	C4	CPD_583
PLA_008	C5	CPD_584
PLA_008	C6	CPD_585
PLA_008	C7	CPD_586
PLA_008	C8	CPD_587
PLA_008	C9	CPD_588
PLA_008	C10	CPD_589
PLA_008	C11	CPD_590
PLA_008	D2	CPD_591
PLA_008	D3	CPD_592
PLA_008	D4	CPD_593
PLA_008	D5	CPD_594
PLA_008	D6	CPD_595
PLA_008	D7	CPD_596
PLA_008	D8	CPD_597
PLA_008	D9	CPD_598
PLA_008	D10	CPD_599
PLA_008	D11	CPD_600
PLA_008	E2	CPD_601
PLA_008	E3	CPD_602
PLA_008	E4	CPD_603
PLA_008	E5	CPD_604
PLA_008	E6	CPD_605
PLA_008	E7	CPD_606
PLA_008	E8	CPD_607
PLA_008	E9	CPD_608
PLA_008	E10	CPD_609
PLA_008	E11	CPD_610
PLA_008	F2	CPD_611
PLA_008	F3	CPD_612
PLA_008	F4	CPD_613
PLA_008	F5	CPD_614
PLA_008	F6	CPD_615
PLA_008	F7	CPD_616
PLA_008	F8	CPD_617
PLA_008	F9	CPD_618
PLA_008	F10	CPD_619
PLA_008	F11	CPD_620
PLA_008	G2	CPD_621
PLA_008	G3	CPD_622
PLA_008	G4	CPD_623
PLA_008	G5	CPD_624
PLA_008	G6	CPD_625
PLA_008	G7	CPD_626
PLA_008	G8	CPD_627
PLA_008	G9	CPD_628
PLA_008	G10	CPD_629
PLA_008	G11	CPD_630
PLA_008	H2	CPD_631
PLA_008	H3	CPD_632
PLA_008	H4	CPD_633
PLA_008	H5	CPD_634
PLA_008	H6	CPD_635
PLA_008	H7	CPD_636
PLA_008	H8	CPD_637
PLA_008	H9	CPD_638
PLA_008	H10	CPD_639
PLA_008	H11	CPD_640
PLA_009	A2	CPD_641
PLA_009	A3	CPD_642
PLA_009	A4	CPD_643
PLA_009	A5	CPD_644
PLA_009	A6	CPD_645
PLA_009	A7	CPD_646
PLA_009	A8	CPD_647
PLA_009	A9	CPD_648
PLA_009	A10	CPD_649
PLA_009	A11	CPD_650
PLA_009	B2	CPD_651
PLA_009	B3	CPD_652
PLA_009	B4	CPD_653
PLA_009	B5	CPD_654
PLA_009	B6	CPD_655
PLA_009	B7	CPD_656
PLA_009	B8	CPD_657
PLA_009	B9	CPD_658
PLA_009	B10	CPD_659
PLA_009	B11	CPD_660
PLA_009	C2	CPD_661
PLA_009	C3	CPD_662
PLA_009	C4	CPD_663
PLA_009	C5	CPD_664
PLA_009	C6	CPD_665
PLA_009	C7	CPD_666
PLA_009	C8	CPD_667
PLA_009	C9	CPD_668
PLA_009	C10	CPD_669
PLA_009	C11	CPD_670
PLA_009	D2	CPD_671
PLA_009	D3	CPD_672
PLA_009	D4	CPD_673
PLA_009	D5	CPD_674
PLA_009	D6	CPD_675
PLA_009	D7	CPD_676
PLA_009	D8	CPD_677
PLA_009	D9	CPD_678
PLA_009	D10	CPD_679
PLA_009	D11	CPD_680
PLA_009	E2	CPD_681
PLA_009	E3	CPD_682
PLA_009	E4	CPD_683
PLA_009	E5	CPD_684
PLA_009	E6	CPD_685
PLA_009	E7	CPD_686
PLA_009	E8	CPD_687
PLA_009	E9	CPD_688
PLA_009	E10	CPD_689
PLA_009	E11	CPD_690
PLA_009	F2	CPD_691
PLA_009	F3	CPD_692
PLA_009	F4	CPD_693
PLA_009	F5	CPD_694
PLA_009	F6	CPD_695
PLA_009	F7	CPD_696
PLA_009	F8	CPD_697
PLA_009	F9	CPD_698
PLA_009	F10	CPD_699
PLA_009	F11	CPD_700
PLA_009	G2	CPD_701
PLA_009	G3	CPD_702
PLA_009	G4	CPD_703
PLA_009	G5	CPD_704
PLA_009	G6	CPD_705
PLA_009	G7	CPD_706
PLA_009	G8	CPD_707
PLA_009	G9	CPD_708
PLA_009	G10	CPD_709
PLA_009	G11	CPD_710
PLA_009	H2	CPD_711
PLA_009	H3	CPD_712
PLA_009	H4	CPD_713
PLA_009	H5	CPD_714
PLA_009	H6	CPD_715
PLA_009	H7	CPD_716
PLA_009	H8	CPD_717
PLA_009	H9	CPD_718
PLA_009	H10	CPD_719
PLA_009	H11	CPD_720
PLA_010	A2	CPD_721
PLA_010	A3	CPD_722
PLA_010	A4	CPD_723
PLA_010	A5	CPD_724
PLA_010	A6	CPD_725
PLA_010	A7	CPD_726
PLA_010	A8	CPD_727
PLA_010	A9	CPD_728
PLA_010	A10	CPD_729
PLA_010	A11	CPD_730
PLA_010	B2	CPD_731
PLA_010	B3	CPD_732
PLA_010	B4	CPD_733
PLA_010	B5	CPD_734
PLA_010	B6	CPD_735
PLA_010	B7	CPD_736
PLA_010	B8	CPD_737
PLA_010	B9	CPD_738
PLA_010	B10	CPD_739
PLA_010	B11	CPD_740
PLA_010	C2	CPD_741
PLA_010	C3	CPD_742
PLA_010	C4	CPD_743
PLA_010	C5	CPD_744
PLA_010	C6	CPD_745
PLA_010	C7	CPD_746
PLA_010	C8	CPD_747
PLA_010	C9	CPD_748
PLA_010	C10	CPD_749
PLA_010	C11	CPD_750
PLA_010	D2	CPD_751
PLA_010	D3	CPD_752
PLA_010	D4	CPD_753
PLA_010	D5	CPD_754
PLA_010	D6	CPD_755
PLA_010	D7	CPD_756
PLA_010	D8	CPD_757
PLA_010	D9	CPD_758
PLA_010	D10	CPD_759
PLA_010	D11	CPD_760
PLA_010	E2	CPD_761
PLA_010	E3	CPD_762
PLA_010	E4	CPD_763
PLA_010	E5	CPD_764
PLA_010	E6	CPD_765
PLA_010	E7	CPD_766
PLA_010	E8	CPD_767
PLA_010	E9	CPD_768
PLA_010	E10	CPD_769
PLA_010	E11	CPD_770
PLA_010	F2	CPD_771
PLA_010	F3	CPD_772
PLA_010	F4	CPD_773
PLA_010	F5	CPD_774
PLA_010	F6	CPD_775
PLA_010	F7	CPD_776
PLA_010	F8	CPD_777
PLA_010	F9	CPD_778
PLA_010	F10	CPD_779
PLA_010	F11	CPD_780
PLA_010	G2	CPD_781
PLA_010	G3	CPD_782
PLA_010	G4	CPD_783
PLA_010	G5	CPD_784
PLA_010	G6	CPD_785
PLA_010	G7	CPD_786
PLA_010	G8	CPD_787
PLA_010	G9	CPD_788
PLA_010	G10	CPD_789
PLA_010	G11	CPD_790
PLA_010	H2	CPD_791
PLA_010	H3	CPD_792
PLA_010	H4	CPD_793
PLA_010	H5	CPD_794
PLA_010	H6	CPD_795
PLA_010	H7	CPD_796
PLA_010	H8	CPD_797
PLA_010	H9	CPD_798
PLA_010	H10	CPD_799
PLA_010	H11	CPD_800
